months,day_of_week,period,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2
August,Sunday,Morning,7.02452380952381,0.16515476190476192,8.344369047619047,751.972619047619,211.27380952380952,0.02129345238095238,0.11031845238095239,1466.235119047619,915.2488095238095
August,Sunday,Noon,7.175,0.16547222222222221,8.346958333333333,752.2319444444445,209.76944444444445,0.020905555555555556,0.11151805555555556,1558.6583333333333,898.4736111111112
August,Sunday,Afternoon,7.155972222222222,0.16912500000000003,8.339402777777778,751.9638888888888,211.25277777777777,0.021906944444444444,0.11216250000000001,1532.8680555555557,926.1111111111111
August,Sunday,Night,7.0840151515151515,0.16507954545454545,8.337714673333332,752.1135712810606,211.1871212121212,0.021152963458333333,0.11000227272727273,1584.3333333333333,955.255303030303
September,Monday,Morning,8.097083333333334,0.16436309523809522,8.373090248644047,755.0910714285715,210.58824361,0.02128736828095238,0.10697916666666667,1674.9517857142857,875.6410714285714
September,Monday,Noon,8.289583333333333,0.1659861111111111,8.368452512306945,754.5291666666667,207.77031198944445,0.022456096327777775,0.10557361111111112,1746.5708333333334,777.4222222222222
September,Monday,Afternoon,8.2425,0.16544444444444445,8.372180555555556,754.1694444444445,211.27083333333334,0.023209722222222222,0.10609583333333333,1628.9625,858.9652777777778
September,Monday,Night,8.163295454545453,0.16718560606060606,8.376624025220833,754.8151515151516,210.74805829439393,0.021520518207575758,0.10811931818181818,1575.5681818181818,893.930303030303
September,Tuesday,Morning,8.166666666666666,0.16607738095238095,8.376404761904762,755.0434523809524,211.90595238095239,0.019750595238095237,0.10703928571428571,1606.314880952381,965.2214285714285
September,Tuesday,Noon,8.274305555555555,0.16558333333333333,8.372361111111111,755.2638888888889,209.44722222222222,0.01958888888888889,0.10820416666666666,1693.1555555555556,982.2180555555556
September,Tuesday,Afternoon,8.31263888888889,0.16477777777777777,8.370763888888888,754.7791666666667,211.1625,0.020056944444444447,0.10635694444444445,1676.0402777777779,983.4944444444444
September,Tuesday,Night,8.21685606060606,0.1666287878787879,8.367149927598863,754.834090909091,211.36235781530303,0.0194698444530303,0.10649015151515152,1579.0356060606061,948.7064393939394
September,Wednesday,Morning,8.2075,0.16398214285714285,8.25620238095238,743.5041666666667,211.41607142857143,0.02282440476190476,0.10551428571428573,1724.8136904761905,951.0267857142857
September,Wednesday,Noon,8.357777777777779,0.17220833333333335,8.362763888888889,747.4430555555556,209.69861111111112,0.020744444444444444,0.10319722222222222,1441.25,746.4652777777778
September,Wednesday,Afternoon,8.43138888888889,0.14401388888888889,8.358666666666666,749.9861111111111,211.19166666666666,0.020170833333333332,0.09715694444444445,1519.5,806.8944444444444
September,Wednesday,Night,8.248598484848484,0.16687121212121214,8.391564393939394,754.717803030303,210.56325757575758,0.02119810606060606,0.10625643939393939,1703.9738636363636,953.3128787878788
September,Thursday,Morning,8.141666666666667,0.16512931563809524,8.283771428571427,738.38791243,212.18714285714285,0.022114761904761904,0.10314112589047619,1667.4161904761904,1015.2471428571429
September,Thursday,Noon,8.315333333333333,0.16646666666666665,8.38578888888889,747.6266666666667,208.99444444444444,0.020994444444444444,0.10931,1593.2455555555555,1078.6144444444444
September,Thursday,Afternoon,8.27488888888889,0.16468888888888888,8.388399999999999,752.0166666666667,209.66333333333333,0.02169,0.10659888888888888,1611.0177777777778,1034.1955555555555
September,Thursday,Night,8.163727272727273,0.1669004735878788,8.37371212121212,754.0213988190909,210.1418181818182,0.02275212121212121,0.10769526193030303,1644.188787878788,1046.989090909091
September,Friday,Morning,8.160619047619047,0.1665047619047619,8.3705,754.0104761904762,210.89333333333335,0.02282142857142857,0.10779476190476191,1650.1357142857144,885.3980952380953
September,Friday,Noon,8.294888888888888,0.1675017364888889,8.369844444444444,753.7162401144444,209.55333333333334,0.020153333333333336,0.10858373818888888,1621.9155555555556,905.5933333333334
September,Friday,Afternoon,8.302888888888889,0.16568888888888889,8.367288888888888,754.2111111111111,210.97444444444446,0.019004444444444442,0.10732555555555556,1633.9522222222222,946.1022222222222
September,Friday,Night,8.220242424242423,0.16664242424242426,8.37080606060606,754.3227272727273,210.83060606060607,0.02169121212121212,0.1075339393939394,1579.9354545454546,1012.8145454545455
September,Saturday,Morning,8.050535714285713,0.16727976190476193,8.363285714285714,753.9238095238095,212.2422619047619,0.02190238095238095,0.10751904761904763,1431.202380952381,948.8244047619048
September,Saturday,Noon,8.162638888888889,0.16656944444444446,8.381402777777778,754.2638888888889,210.6375,0.021948611111111113,0.1091,1527.675,960.4791666666666
September,Saturday,Afternoon,8.156388888888888,0.1677361111111111,8.375452512306945,754.2916666666666,210.36058976722222,0.022011651883333334,0.1093361111111111,1512.0305555555556,917.5875
September,Saturday,Night,8.122954545454546,0.16687180410606062,8.372426442750378,753.6074303420454,211.48356993651515,0.019728556574242422,0.1075031683219697,1452.2886363636364,927.7674242424242
September,Sunday,Morning,8.070416666666667,0.16702380952380955,8.369925684704167,754.1494047619047,211.75515306261906,0.022276767373809524,0.10794285714285715,1481.0208333333333,866.3827380952381
September,Sunday,Noon,8.221944444444444,0.16752777777777778,8.36525898252639,755.15,210.07165572166667,0.026548346561111113,0.11074583333333332,1548.6305555555555,846.8513888888889
September,Sunday,Afternoon,8.18736111111111,0.16541666666666668,8.38661917897361,753.9902777777778,210.75503421166667,0.02300192966111111,0.10750694444444445,1509.1541666666667,901.8347222222222
September,Sunday,Night,8.143787878787878,0.16618560606060606,8.376065006712878,753.9662878787879,211.67926108515152,0.01921279496666667,0.10679280303030303,1467.6632575757576,892.8151515151516
October,Monday,Morning,9.748,0.16512857142857146,8.379523809523809,753.8447619047619,211.02714285714285,0.01702285714285714,0.10265238095238095,1471.5638095238096,875.7480952380953
October,Monday,Noon,9.815444444444443,0.16313333333333332,8.38961111111111,753.7877777777778,208.21,0.01619888888888889,0.10170555555555555,1477.9177777777777,863.2766666666666
October,Monday,Afternoon,9.847555555555555,0.16385555555555556,8.378388888888889,753.0444444444445,208.9388888888889,0.016485555555555555,0.10017555555555556,1480.95,860.6144444444444
October,Monday,Night,9.740848484848485,0.165469696969697,8.382157666848787,753.1621212121212,210.31636363636363,0.016547575757575757,0.10132363636363637,1415.210606060606,858.5742424242425
October,Tuesday,Morning,9.547202380952381,0.16594642857142858,8.373720238095238,754.5041666666667,211.47976190476192,0.016376785714285715,0.1036672619047619,1418.3702380952382,941.1321428571429
October,Tuesday,Noon,9.578194444444446,0.164,8.377097222222222,754.5236111111111,210.1013888888889,0.015331944444444443,0.10306944444444444,1462.088888888889,981.7430555555555
October,Tuesday,Afternoon,9.621666666666668,0.16469444444444445,8.377930555555555,753.8277777777778,210.63055555555556,0.015084722222222223,0.10163055555555557,1447.5569444444445,941.3472222222222
October,Tuesday,Night,9.570530303030303,0.1655189393939394,8.387178030303032,753.8465909090909,211.71401515151516,0.0161530303030303,0.10190151515151515,1417.9537878787878,923.7185606060606
October,Wednesday,Morning,9.573511904761904,0.16327380952380954,8.371607142857142,753.9863095238095,212.43511904761905,0.016457738095238095,0.10263392857142858,1436.6297619047618,910.5702380952381
October,Wednesday,Noon,9.564305555555556,0.16269444444444445,8.390916666666667,753.4625,212.53472222222223,0.015620833333333334,0.10131666666666665,1446.6305555555555,906.3402777777778
October,Wednesday,Afternoon,9.602916666666667,0.16320833333333334,8.390541666666666,752.7013888888889,211.83055555555555,0.015369444444444446,0.09922083333333333,1404.05,927.0027777777777
October,Wednesday,Night,9.565378787878789,0.16543560606060606,8.381329545454545,753.7371212121212,211.85795454545453,0.01616439393939394,0.1015965909090909,1397.5003787878788,935.3193181818182
October,Thursday,Morning,9.557142857142857,0.16524404761904762,8.38117857142857,753.9559523809523,211.08928571428572,0.016552380952380954,0.10246071428571428,1432.1005952380951,911.2589285714286
October,Thursday,Noon,9.665555555555555,0.16495833333333335,8.367888888888888,753.8833333333333,209.01388888888889,0.015968055555555555,0.10283611111111111,1402.7513888888889,927.1125
October,Thursday,Afternoon,9.709583333333335,0.1642361111111111,8.379555555555555,752.7819444444444,211.475,0.01611388888888889,0.10016388888888889,1506.4569444444444,769.0361111111112
October,Thursday,Night,9.614128787878787,0.16603409090909094,8.383841136818939,753.9295454545454,211.16780303030302,0.016209469696969698,0.10294356060606061,1443.0492424242425,947.1352272727273
October,Friday,Morning,9.685297619047619,0.16594047619047622,8.378535714285714,753.7630952380953,211.7577380952381,0.016055357142857142,0.10244047619047619,1456.5767857142857,947.7029761904762
October,Friday,Noon,9.764027777777779,0.16480555555555557,8.37586111111111,753.5638888888889,209.19583333333333,0.016811111111111113,0.10201805555555556,1408.175,953.775
October,Friday,Afternoon,9.80125,0.1683611111111111,8.382888888888889,753.2111111111111,210.83333333333334,0.01655138888888889,0.10193194444444445,1425.1027777777779,953.0805555555555
October,Friday,Night,9.715378787878787,0.16607575757575757,8.380310719924621,753.7731060606061,210.17727272727274,0.01607840909090909,0.10251325757575758,1428.7875,940.7992424242424
October,Saturday,Morning,9.614095238095237,0.16615714285714286,8.37404761904762,753.6957142857143,210.6795238095238,0.01675142857142857,0.10282857142857142,1380.7471428571428,924.9090476190477
October,Saturday,Noon,9.648444444444445,0.16507777777777777,8.386433667334444,754.2,209.0522222222222,0.015834444444444443,0.10392222222222222,1386.3244444444445,944.9622222222222
October,Saturday,Afternoon,9.691222222222223,0.1659111111111111,8.371311111111112,753.6644444444445,208.16555555555556,0.015593333333333334,0.10223444444444443,1382.4433333333334,894.6688888888889
October,Saturday,Night,9.611666666666666,0.16714242424242426,8.377878787878787,753.61,209.8390909090909,0.016652424242424243,0.10238757575757576,1365.3081818181818,898.4875757575758
October,Sunday,Morning,9.63557142857143,0.16615238095238097,8.375276333619523,753.1590476190477,212.62809523809523,0.017213809523809524,0.1015852380952381,1331.452857142857,862.5395238095238
October,Sunday,Noon,9.74788888888889,0.16703333333333334,8.385311111111111,753.6066666666667,210.55666666666667,0.016684444444444446,0.10385444444444444,1356.568888888889,839.1077777777778
October,Sunday,Afternoon,9.83611111111111,0.16492222222222222,8.389677777777777,752.8455555555555,209.69444444444446,0.016804444444444445,0.10168222222222222,1351.4466666666667,849.9611111111111
October,Sunday,Night,9.709363636363635,0.16463333333333335,8.375484848484849,753.0369696969697,210.87818181818182,0.016916363636363636,0.1009560606060606,1361.9969696969697,887.0336363636363
November,Monday,Morning,10.297857142857143,0.1675714285714286,8.398071428571429,761.097619047619,189.65,0.021223809523809523,0.1096952380952381,1545.0357142857142,993.0023809523809
November,Monday,Noon,10.284444444444444,0.15811111111111112,8.38738888888889,758.7833333333333,191.07222222222222,0.019594444444444446,0.10079999999999999,1478.4,782.5055555555556
November,Monday,Afternoon,10.287222222222223,0.1603888888888889,8.390333333333333,758.7888888888889,189.50555555555556,0.01947222222222222,0.10083333333333333,1491.0611111111111,795.2777777777778
November,Monday,Night,10.249848484848485,0.16516666666666668,8.404287878787878,760.1348484848485,189.61666666666667,0.02116818181818182,0.10609848484848486,1475.730303030303,941.989393939394
November,Tuesday,Morning,10.549923664122137,0.16435114503816795,8.405648854961832,753.9175572519084,199.22137404580153,0.018132824427480917,0.10294503816793893,1581.957251908397,953.4885496183206
November,Tuesday,Noon,10.972777777777777,0.16694444444444445,8.41211111111111,749.6944444444445,201.0222222222222,0.014738888888888888,0.0994111111111111,1563.2777777777778,1056.7
November,Tuesday,Afternoon,10.969444444444445,0.1607777777777778,8.402777777777779,750.5888888888888,200.5388888888889,0.018449999999999998,0.09571111111111112,1485.5055555555555,1062.7222222222222
November,Tuesday,Night,10.651145833333334,0.16675,8.4036875,752.71875,199.48645833333333,0.01903125,0.10195208333333333,1318.4197916666667,917.6364583333333
November,Wednesday,Morning,10.871666666666668,0.16447619047619047,8.42502380952381,749.9357142857143,202.69285714285715,0.019442857142857144,0.10340952380952381,1349.2238095238095,796.3928571428571
November,Wednesday,Noon,10.928888888888888,0.16005555555555556,8.4185,750.9833333333333,204.99444444444444,0.018233333333333334,0.10257777777777777,1461.5277777777778,928.3777777777777
November,Wednesday,Afternoon,10.91,0.16605555555555557,8.415000000000001,751.2,199.75555555555556,0.01813888888888889,0.10307777777777777,1467.55,919.4166666666666
November,Wednesday,Night,10.885454545454547,0.16722727272727272,8.411818181818182,751.5333333333333,202.1409090909091,0.019690909090909092,0.10564393939393939,1343.4666666666667,981.0803030303031
November,Thursday,Morning,10.829761904761904,0.161,8.218047619047619,712.8357142857143,216.19761904761904,0.020404761904761905,0.0956547619047619,1585.252380952381,996.8642857142858
November,Thursday,Noon,10.998333333333333,0.16161111111111112,8.4095,749.1777777777778,191.7,0.019,0.09815000000000002,1580.138888888889,997.3833333333333
November,Thursday,Afternoon,10.923333333333334,0.1602222222222222,8.41861111111111,750.5611111111111,190.11666666666667,0.019255555555555554,0.09874444444444445,1538.9388888888889,843.9444444444445
November,Thursday,Night,10.776666666666667,0.16148484848484848,8.414257575757576,751.9863636363636,196.1439393939394,0.020316666666666667,0.10095303030303031,1409.4348484848485,926.4272727272727
November,Friday,Morning,10.695714285714285,0.16766666666666666,8.417357142857142,754.7238095238096,191.5142857142857,0.020759523809523808,0.10733333333333334,1401.5714285714287,919.9309523809524
November,Friday,Noon,10.72888888888889,0.171,8.415333333333333,756.3444444444444,188.47222222222223,0.019944444444444445,0.11015555555555555,1518.4944444444445,850.2166666666667
November,Friday,Afternoon,10.737222222222222,0.1703888888888889,8.415444444444445,756.8888888888889,189.56666666666666,0.020555555555555556,0.10997777777777777,1509.1777777777777,850.4888888888889
November,Friday,Night,10.69878787878788,0.16584848484848486,8.419121212121212,755.5651515151516,192.06060606060606,0.02061818181818182,0.10607121212121214,1450.2454545454545,888.8681818181818
November,Saturday,Morning,10.69142857142857,0.1600714285714286,8.408833333333334,758.6738095238095,189.15238095238095,0.023042857142857146,0.10521904761904761,1603.8095238095239,928.6809523809524
November,Saturday,Noon,10.7,0.16177777777777777,8.406833333333333,759.8944444444444,188.00555555555556,0.021555555555555557,0.10679444444444444,1610.2222222222222,960.3833333333333
November,Saturday,Afternoon,10.7,0.16244444444444445,8.402444444444445,759.3666666666667,189.91666666666666,0.021011111111111112,0.1058,1501.1333333333334,957.4833333333333
November,Saturday,Night,10.630757575757574,0.16572727272727275,8.399681818181818,758.3060606060606,189.50151515151515,0.020866666666666665,0.10715757575757576,1428.8848484848486,826.8545454545455
November,Sunday,Morning,10.45,0.16604761904761908,8.418,758.8619047619047,190.95714285714286,0.02186904761904762,0.1063595238095238,1317.4,812.9
November,Sunday,Noon,10.516666666666667,0.1675,8.396111111111113,760.65,186.38333333333333,0.01932222222222222,0.11180555555555556,1523.4444444444443,840.6055555555556
November,Sunday,Afternoon,10.491666666666667,0.16372222222222224,8.398777777777777,760.3,189.1,0.020483333333333336,0.10876666666666666,1540.138888888889,911.8333333333334
November,Sunday,Night,10.417575757575758,0.16222727272727275,8.404287878787878,758.9166666666666,189.7348484848485,0.02087121212121212,0.1048590909090909,1362.0333333333333,907.5242424242424
